content,score,at,clean_text,normalized_text,text_StopWords,text_tokens,text_steaming,sentimen,,
"Aplikasi eror data tidak sesuai di tps, data c1 dengan data rekap tidak sama!!!",1,2024-02-19 13:43:42,aplikasi eror data tidak sesuai di tps data c1 dengan data rekap tidak sama,aplikasi error data tidak sesuai di tps data c1 dengan data rekap tidak sama,aplikasi error data sesuai tps data c1 data rekap,"['aplikasi', 'error', 'data', 'sesuai', 'tps', 'data', 'c1', 'data', 'rekap']",aplikasi error data sesuai tps data c1 data rekap,negatif,,
Aplikasi sampah... Terlalu memaksa untuk hal yang sangat krusial dalam proses demokrasi Indonesia.,1,2024-02-19 13:40:30,aplikasi sampah terlalu memaksa untuk hal yang sangat krusial dalam proses demokrasi indonesia,aplikasi sampah terlalu memaksa untuk hal yang sangat krusial dalam proses demokrasi indonesia,aplikasi sampah memaksa krusial proses demokrasi indonesia,"['aplikasi', 'sampah', 'memaksa', 'krusial', 'proses', 'demokrasi', 'indonesia']",aplikasi sampah paksa krusial proses demokrasi indonesia,negatif,,
"mohon di perbaiki untuk sistemnya, agar tidak down",5,2024-02-19 13:39:01,mohon di perbaiki untuk sistemnya agar tidak down,mohon di perbaiki untuk sistemnya agar tidak down,mohon perbaiki sistemnya down,"['mohon', 'perbaiki', 'sistemnya', 'down']",mohon baik sistem down,negatif,,
"Aplikasi Manipulasi Data, Bikin Gaduh,",3,2024-02-19 13:36:13,aplikasi manipulasi data bikin gaduh,aplikasi manipulasi data bikin gaduh,aplikasi manipulasi data bikin gaduh,"['aplikasi', 'manipulasi', 'data', 'bikin', 'gaduh']",aplikasi manipulasi data bikin gaduh,negatif,,
"banyak bug, tidak sesuai hasil pengesahannya",1,2024-02-19 13:35:58,banyak bug tidak sesuai hasil pengesahannya,banyak bug tidak sesuai hasil pengesahannya,bug sesuai hasil pengesahannya,"['bug', 'sesuai', 'hasil', 'pengesahannya']",bug sesuai hasil kesah,negatif,,
Sirekap keknya belum cocok untuk diandalkan dalam pemilu soalnya banyak Bug,1,2024-02-19 13:34:44,sirekap keknya belum cocok untuk diandalkan dalam pemilu soalnya banyak bug,sirekap keknya belum cocok untuk diandalkan dalam pemilu soalnya banyak bug,sirekap keknya cocok diandalkan pemilu bug,"['sirekap', 'keknya', 'cocok', 'diandalkan', 'pemilu', 'bug']",sirekap kek cocok andal milu bug,negatif,,
Aplikasi siluman..cukup 1 bintang..atau tidak samasekali.,1,2024-02-19 13:33:20,aplikasi silumancukup 1 bintangatau tidak samasekali,aplikasi silumancukup 1 bintangatau tidak samasekali,aplikasi silumancukup 1 bintangatau samasekali,"['aplikasi', 'silumancukup', '1', 'bintangatau', 'samasekali']",aplikasi silumancukup 1 bintangatau samasekali,negatif,,
Algoritma untuk perhitungan suara menguntungkan paslon 02. Tidak Jujur dan Tidak Adil.,1,2024-02-19 13:32:56,algoritma untuk perhitungan suara menguntungkan paslon 02 tidak jujur dan tidak adil,algoritma untuk perhitungan suara menguntungkan paslon 02 tidak jujur dan tidak adil,algoritma perhitungan suara menguntungkan paslon 02 jujur adil,"['algoritma', 'perhitungan', 'suara', 'menguntungkan', 'paslon', '02', 'jujur', 'adil']",algoritma hitung suara untung paslon 02 jujur adil,negatif,,
"Kualitas gambar kurang baik, pakai kamera biasa gambar jernih tapi pakai sirekap gambar buram. Tolong di tingkatkan kualitas gambarnya",3,2024-02-19 13:26:01,kualitas gambar kurang baik pakai kamera biasa gambar jernih tapi pakai sirekap gambar buram tolong di tingkatkan kualitas gambarnya,kualitas gambar kurang baik pakai kamera biasa gambar jernih tapi pakai sirekap gambar buram mohon di tingkatkan kualitas gambarnya,kualitas gambar pakai kamera gambar jernih pakai sirekap gambar buram mohon tingkatkan kualitas gambarnya,"['kualitas', 'gambar', 'pakai', 'kamera', 'gambar', 'jernih', 'pakai', 'sirekap', 'gambar', 'buram', 'mohon', 'tingkatkan', 'kualitas', 'gambarnya']",kualitas gambar pakai kamera gambar jernih pakai sirekap gambar buram mohon tingkat kualitas gambar,negatif,,
di suruh update pas sudah update tidak ada perubahan fitur yang bener aja nambah kerjaan,1,2024-02-19 13:19:23,di suruh update pas sudah update tidak ada perubahan fitur yang bener aja nambah kerjaan,di suruh update saat sudah update tidak ada perubahan fitur yang bener saja nambah kerjaan,suruh update update perubahan fitur bener nambah kerjaan,"['suruh', 'update', 'update', 'perubahan', 'fitur', 'bener', 'nambah', 'kerjaan']",suruh update update ubah fitur bener nambah kerja,negatif,,
Buruk,1,2024-02-19 13:17:58,buruk,buruk,buruk,['buruk'],buruk,negatif,,
"Buat pengalaman saya kalo apk nya sering ada bug mohon segera di perbaiki saya anggota kpps sirekap seperti saya seolah olah yang di salahkan ntah foto yang belum terkirim"" dan gagal submit dan ketua saya selalu menyalahkan saya entah kerja tidak beres ntah maupun di kata katain ga becus tolong buat apk ini di kondisikan ketua saya nga ada otak soalnya cuman bisa nyalah in orang kalo yang di salah in saya padahal kendala di apk saya bisa apa ?",1,2024-02-19 13:07:27,buat pengalaman saya kalo apk nya sering ada bug mohon segera di perbaiki saya anggota kpps sirekap seperti saya seolah olah yang di salahkan ntah foto yang belum terkirim dan gagal submit dan ketua saya selalu menyalahkan saya entah kerja tidak beres ntah maupun di kata katain ga becus tolong buat apk ini di kondisikan ketua saya nga ada otak soalnya cuman bisa nyalah in orang kalo yang di salah in saya padahal kendala di apk saya bisa apa,untuk pengalaman saya kalau aplikasi nya sering ada bug mohon segera di perbaiki saya anggota kpps sirekap seperti saya seolah olah yang di salahkan ntah foto yang belum terkirim dan gagal submit dan ketua saya selalu menyalahkan saya entah kerja tidak beres ntah maupun di kata katain tidak becus mohon untuk aplikasi ini di kondisikan ketua saya nga ada otak soalnya cuman bisa nyalah in orang kalau yang di salah in saya padahal kendala di aplikasi saya bisa apa,pengalaman aplikasi nya bug mohon perbaiki anggota kpps sirekap olah salahkan ntah foto terkirim gagal submit ketua menyalahkan kerja beres ntah katain becus mohon aplikasi kondisikan ketua nga otak cuman nyalah in orang salah in kendala aplikasi,"['pengalaman', 'aplikasi', 'nya', 'bug', 'mohon', 'perbaiki', 'anggota', 'kpps', 'sirekap', 'olah', 'salahkan', 'ntah', 'foto', 'terkirim', 'gagal', 'submit', 'ketua', 'menyalahkan', 'kerja', 'beres', 'ntah', 'katain', 'becus', 'mohon', 'aplikasi', 'kondisikan', 'ketua', 'nga', 'otak', 'cuman', 'nyalah', 'in', 'orang', 'salah', 'in', 'kendala', 'aplikasi']",alam aplikasi nya bug mohon baik anggota kpps sirekap olah salah ntah foto kirim gagal submit ketua salah kerja beres ntah katain becus mohon aplikasi kondisi ketua nga otak cuman nyalah in orang salah in kendala aplikasi,negatif,,
Aplikasi lemot 🤣,1,2024-02-19 12:55:51,aplikasi lemot,aplikasi lemot,aplikasi lemot,"['aplikasi', 'lemot']",aplikasi lot,negatif,,
Aplikasi busuk kalah sama aplikasi zeus,1,2024-02-19 12:55:48,aplikasi busuk kalah sama aplikasi zeus,aplikasi busuk kalah sama aplikasi zeus,aplikasi busuk kalah aplikasi zeus,"['aplikasi', 'busuk', 'kalah', 'aplikasi', 'zeus']",aplikasi busuk kalah aplikasi zeus,negatif,,
"Aplikasi gagal yang membuat kerjaan nambah bukannya mempermudah, banyak bug dan eror yang seharusnya bisa di antisipasi.",1,2024-02-19 12:49:10,aplikasi gagal yang membuat kerjaan nambah bukannya mempermudah banyak bug dan eror yang seharusnya bisa di antisipasi,aplikasi gagal yang membuat kerjaan nambah bukannya mempermudah banyak bug dan error yang seharusnya bisa di antisipasi,aplikasi gagal kerjaan nambah mempermudah bug error antisipasi,"['aplikasi', 'gagal', 'kerjaan', 'nambah', 'mempermudah', 'bug', 'error', 'antisipasi']",aplikasi gagal kerja nambah mudah bug error antisipasi,negatif,,
sangat membantu,5,2024-02-19 12:35:38,sangat membantu,sangat membantu,membantu,['membantu'],bantu,positif,,
Mempersulit pemilu,1,2024-02-19 12:26:05,mempersulit pemilu,mempersulit pemilu,mempersulit pemilu,"['mempersulit', 'pemilu']",sulit milu,negatif,,
Buruk apk gagal,1,2024-02-19 12:22:17,buruk apk gagal,buruk aplikasi gagal,buruk aplikasi gagal,"['buruk', 'aplikasi', 'gagal']",buruk aplikasi gagal,negatif,,
Aplikasi nyusahin,1,2024-02-19 12:14:51,aplikasi nyusahin,aplikasi nyusahin,aplikasi nyusahin,"['aplikasi', 'nyusahin']",aplikasi nyusahin,negatif,,
Aplikasi gagal,1,2024-02-19 12:03:39,aplikasi gagal,aplikasi gagal,aplikasi gagal,"['aplikasi', 'gagal']",aplikasi gagal,negatif,,
Menyusahkan meresahkan,1,2024-02-19 12:02:03,menyusahkan meresahkan,menyusahkan meresahkan,menyusahkan meresahkan,"['menyusahkan', 'meresahkan']",susah resah,negatif,,
"Seharusnya aplikasi mempermudah kpps dalam proses rekap, tetapi saat hari H justru menambah tugas kpps dalam input data. Foto yg tidak bisa fokus sedangkan diminta foto kualitas bagus, pengambilan gambar lama, verifikasi gambar lama, akun sirekap 1 dan 2 tidak bisa saling terhubung langsung, dan foto harus realtime. Mohon kedepannya dievaluasi kesiapan aplikasi sebelum digunakan sebelum diakses oleh kpps. MOHON JIKA APLIKASI BELUM BENAR2 SIAP, TIDAK PERLU DIGUNAKAN 🙏",2,2024-02-19 11:45:40,seharusnya aplikasi mempermudah kpps dalam proses rekap tetapi saat hari h justru menambah tugas kpps dalam input data foto yg tidak bisa fokus sedangkan diminta foto kualitas bagus pengambilan gambar lama verifikasi gambar lama akun sirekap 1 dan 2 tidak bisa saling terhubung langsung dan foto harus realtime mohon kedepannya dievaluasi kesiapan aplikasi sebelum digunakan sebelum diakses oleh kpps mohon jika aplikasi belum benar2 siap tidak perlu digunakan,seharusnya aplikasi mempermudah kpps dalam proses rekap tetapi saat hari h justru menambah tugas kpps dalam input data foto yang tidak bisa fokus sedangkan diminta foto kualitas bagus pengambilan gambar lama verifikasi gambar lama akun sirekap 1 dan 2 tidak bisa saling terhubung langsung dan foto harus realtime mohon kedepannya dievaluasi kesiapan aplikasi sebelum digunakan sebelum diakses oleh kpps mohon jika aplikasi belum benar2 siap tidak perlu digunakan,aplikasi mempermudah kpps proses rekap h menambah tugas kpps input data foto fokus foto kualitas bagus pengambilan gambar verifikasi gambar akun sirekap 1 2 terhubung langsung foto realtime mohon kedepannya dievaluasi kesiapan aplikasi diakses kpps mohon aplikasi benar2,"['aplikasi', 'mempermudah', 'kpps', 'proses', 'rekap', 'h', 'menambah', 'tugas', 'kpps', 'input', 'data', 'foto', 'fokus', 'foto', 'kualitas', 'bagus', 'pengambilan', 'gambar', 'verifikasi', 'gambar', 'akun', 'sirekap', '1', '2', 'terhubung', 'langsung', 'foto', 'realtime', 'mohon', 'kedepannya', 'dievaluasi', 'kesiapan', 'aplikasi', 'diakses', 'kpps', 'mohon', 'aplikasi', 'benar2']",aplikasi mudah kpps proses rekap h tambah tugas kpps input data foto fokus foto kualitas bagus ambil gambar verifikasi gambar akun sirekap 1 2 hubung langsung foto realtime mohon depan evaluasi kesiap aplikasi akses kpps mohon aplikasi benar2,negatif,,
Menyusahkan KPPS,1,2024-02-19 11:23:33,menyusahkan kpps,menyusahkan kpps,menyusahkan kpps,"['menyusahkan', 'kpps']",susah kpps,negatif,,
"Aplikasi belum bisa bekerja maksimal, terlalu banyak membuang waktu dlm penggunaannya",1,2024-02-19 11:21:47,aplikasi belum bisa bekerja maksimal terlalu banyak membuang waktu dlm penggunaannya,aplikasi belum bisa bekerja maksimal terlalu banyak membuang waktu dlm penggunaannya,aplikasi maksimal membuang dlm penggunaannya,"['aplikasi', 'maksimal', 'membuang', 'dlm', 'penggunaannya']",aplikasi maksimal buang dlm guna,negatif,,
Semoga dgn adanya aplikasinya ini biaa meminimalisir bentuk2 kecurangan pemilu. Dan penyelenggaranya amanah. Akan tetapi kesini2nya susah diakses utk update data suara,2,2024-02-19 11:18:32,semoga dgn adanya aplikasinya ini biaa meminimalisir bentuk2 kecurangan pemilu dan penyelenggaranya amanah akan tetapi kesini2nya susah diakses utk update data suara,semoga dgn adanya aplikasinya ini biaa meminimalisir bentuk2 kecurangan pemilu dan penyelenggaranya amanah akan tetapi kesini2nya susah diakses utk update data suara,semoga dgn aplikasinya biaa meminimalisir bentuk2 kecurangan pemilu penyelenggaranya amanah kesini2nya susah diakses utk update data suara,"['semoga', 'dgn', 'aplikasinya', 'biaa', 'meminimalisir', 'bentuk2', 'kecurangan', 'pemilu', 'penyelenggaranya', 'amanah', 'kesini2nya', 'susah', 'diakses', 'utk', 'update', 'data', 'suara']",moga dgn aplikasi biaa meminimalisir bentuk2 curang milu selenggara amanah kesini2nya susah akses utk update data suara,negatif,,
Gak bisa ngitung gak usah bikin aplikasi.. bikin emosi aja,1,2024-02-19 11:13:36,gak bisa ngitung gak usah bikin aplikasi bikin emosi aja,tidak bisa ngitung tidak usah bikin aplikasi bikin emosi saja,ngitung bikin aplikasi bikin emosi,"['ngitung', 'bikin', 'aplikasi', 'bikin', 'emosi']",ngitung bikin aplikasi bikin emosi,negatif,,
Aplikasi tidak berguna,1,2024-02-19 11:12:45,aplikasi tidak berguna,aplikasi tidak berguna,aplikasi berguna,"['aplikasi', 'berguna']",aplikasi guna,negatif,,
Saya sudah mode offline Ada gak pihak deplover yg bikin aplikasi ini Nyusahin Gue udah kunci dan logout nyoba masuk pake akun lain Pas masuk susah nya minta ampun dan gak bisa masuk pake akun sebelum nya kalau belum siap jangan bikin aplikasi udah makan uang negara nyusahin orang lagi mana da no hp nya gak mau tak tanyain buruan jawab pea,1,2024-02-19 10:54:01,saya sudah mode offline ada gak pihak deplover yg bikin aplikasi ini nyusahin gue udah kunci dan logout nyoba masuk pake akun lain pas masuk susah nya minta ampun dan gak bisa masuk pake akun sebelum nya kalau belum siap jangan bikin aplikasi udah makan uang negara nyusahin orang lagi mana da no hp nya gak mau tak tanyain buruan jawab pea,saya sudah mode offline ada tidak pihak deplover yang bikin aplikasi ini nyusahin gue sudah kunci dan logout nyoba masuk pakai akun lain saat masuk susah nya minta ampun dan tidak bisa masuk pakai akun sebelum nya kalau belum siap jangan bikin aplikasi sudah makan uang negara nyusahin orang lagi mana da no hp nya tidak ingin tak tanyain buruan jawab pea,mode offline deplover bikin aplikasi nyusahin gue kunci logout nyoba masuk pakai akun masuk susah nya ampun masuk pakai akun nya bikin aplikasi makan uang negara nyusahin orang da no hp nya tanyain buruan pea,"['mode', 'offline', 'deplover', 'bikin', 'aplikasi', 'nyusahin', 'gue', 'kunci', 'logout', 'nyoba', 'masuk', 'pakai', 'akun', 'masuk', 'susah', 'nya', 'ampun', 'masuk', 'pakai', 'akun', 'nya', 'bikin', 'aplikasi', 'makan', 'uang', 'negara', 'nyusahin', 'orang', 'da', 'no', 'hp', 'nya', 'tanyain', 'buruan', 'pea']",mode offline deplover bikin aplikasi nyusahin gue kunci logout nyoba masuk pakai akun masuk susah nya ampun masuk pakai akun nya bikin aplikasi makan uang negara nyusahin orang da no hp nya tanyain buru pea,negatif,,
Aplikasi macam taaik ngga bisa dibuka pun. Aplikasi sampah,1,2024-02-19 10:44:42,aplikasi macam taaik ngga bisa dibuka pun aplikasi sampah,aplikasi macam taaik ngga bisa dibuka pun aplikasi sampah,aplikasi taaik ngga dibuka aplikasi sampah,"['aplikasi', 'taaik', 'ngga', 'dibuka', 'aplikasi', 'sampah']",aplikasi taaik ngga buka aplikasi sampah,negatif,,
"Aplikasi sering ngcrush , dan cara penggunaannya kurang Simple , dan lebih parah lagi engga bisa digunain , sampah , ini kan khusus untuk foto ch hasil masa yang kebuka kamera ultra widenya sih , kebanyakan ambil untung dari pada buat apk yang berguna",1,2024-02-19 10:27:31,aplikasi sering ngcrush dan cara penggunaannya kurang simple dan lebih parah lagi engga bisa digunain sampah ini kan khusus untuk foto ch hasil masa yang kebuka kamera ultra widenya sih kebanyakan ambil untung dari pada buat apk yang berguna,aplikasi sering ngcrush dan cara penggunaannya kurang simple dan lebih parah lagi engga bisa digunain sampah ini kan khusus untuk foto ch hasil masa yang kebuka kamera ultra widenya sih kebanyakan ambil untung dari pada untuk aplikasi yang berguna,aplikasi ngcrush penggunaannya simple parah engga digunain sampah khusus foto ch hasil kebuka kamera ultra widenya sih kebanyakan ambil untung aplikasi berguna,"['aplikasi', 'ngcrush', 'penggunaannya', 'simple', 'parah', 'engga', 'digunain', 'sampah', 'khusus', 'foto', 'ch', 'hasil', 'kebuka', 'kamera', 'ultra', 'widenya', 'sih', 'kebanyakan', 'ambil', 'untung', 'aplikasi', 'berguna']",aplikasi ngcrush guna simple parah engga digunain sampah khusus foto ch hasil buka kamera ultra widenya sih banyak ambil untung aplikasi guna,negatif,,
Satu kata buat apk ini . BUSUUUKKK ....,1,2024-02-19 10:23:39,satu kata buat apk ini busuuukkk,satu kata untuk aplikasi ini busuuukkk,aplikasi busuuukkk,"['aplikasi', 'busuuukkk']",aplikasi busuuukkk,negatif,,
Asem,1,2024-02-19 10:00:54,asem,asem,asem,['asem'],asem,negatif,,
Aplikasi gak jelas gak bisa diakses,1,2024-02-19 09:46:59,aplikasi gak jelas gak bisa diakses,aplikasi tidak jelas tidak bisa diakses,aplikasi diakses,"['aplikasi', 'diakses']",aplikasi akses,negatif,,
"Aplikasi yang terkesan sangat di paksakan tampa ada persiapan yang matang, hanya menanmbah pusing dan membuat gaduh seluruh rakyat indonesia.",1,2024-02-19 09:24:52,aplikasi yang terkesan sangat di paksakan tampa ada persiapan yang matang hanya menanmbah pusing dan membuat gaduh seluruh rakyat indonesia,aplikasi yang terkesan sangat di paksakan tampa ada persiapan yang matang hanya menanmbah pusing dan membuat gaduh seluruh rakyat indonesia,aplikasi terkesan paksakan tampa persiapan matang menanmbah pusing gaduh rakyat indonesia,"['aplikasi', 'terkesan', 'paksakan', 'tampa', 'persiapan', 'matang', 'menanmbah', 'pusing', 'gaduh', 'rakyat', 'indonesia']",aplikasi kes paksa tampa siap matang menanmbah pusing gaduh rakyat indonesia,negatif,,
rewel,1,2024-02-19 09:19:34,rewel,rewel,rewel,['rewel'],rewel,negatif,,
Aplikasi yg menyebalkan,1,2024-02-19 09:13:06,aplikasi yg menyebalkan,aplikasi yang menyebalkan,aplikasi menyebalkan,"['aplikasi', 'menyebalkan']",aplikasi sebal,negatif,,
"Bener2 alat bantu ini sirekap, bantu org yang menggunakan jadi stress.. Aplikasi gagal, gak layak dipakai untuk sekelas pemilu!!!",1,2024-02-19 08:59:47,bener2 alat bantu ini sirekap bantu org yang menggunakan jadi stress aplikasi gagal gak layak dipakai untuk sekelas pemilu,bener2 alat bantu ini sirekap bantu orang yang menggunakan jadi stress aplikasi gagal tidak layak dipakai untuk sekelas pemilu,bener2 alat bantu sirekap bantu orang stress aplikasi gagal layak dipakai sekelas pemilu,"['bener2', 'alat', 'bantu', 'sirekap', 'bantu', 'orang', 'stress', 'aplikasi', 'gagal', 'layak', 'dipakai', 'sekelas', 'pemilu']",bener2 alat bantu sirekap bantu orang stress aplikasi gagal layak pakai kelas milu,negatif,,
"Sebagai masukan, tambahkan foto dari perangkat atau galeri",1,2024-02-19 08:45:05,sebagai masukan tambahkan foto dari perangkat atau galeri,sebagai masukan tambahkan foto dari perangkat atau galeri,masukan tambahkan foto perangkat galeri,"['masukan', 'tambahkan', 'foto', 'perangkat', 'galeri']",masuk tambah foto perangkat galeri,negatif,,
Buruk banget,1,2024-02-19 08:14:37,buruk banget,buruk banget,buruk banget,"['buruk', 'banget']",buruk banget,negatif,,
"Rancangan database cukup bagus, tolong server di perbaiki kembali. User pada hari h server down , penyebab nya biasa karena hosting yang overload.",3,2024-02-19 08:11:51,rancangan database cukup bagus tolong server di perbaiki kembali user pada hari h server down penyebab nya biasa karena hosting yang overload,rancangan database cukup bagus mohon server di perbaiki kembali user pada hari h server down penyebab nya biasa karena hosting yang overload,rancangan database bagus mohon server perbaiki user h server down penyebab nya hosting overload,"['rancangan', 'database', 'bagus', 'mohon', 'server', 'perbaiki', 'user', 'h', 'server', 'down', 'penyebab', 'nya', 'hosting', 'overload']",rancang database bagus mohon server baik user h server down sebab nya hosting overload,negatif,,
Aplikasi cacat bukan membantu malah menyusahkan.. terlalu lemot untuk di gunakan.. terlalu banyak bug 🙏,1,2024-02-19 08:01:27,aplikasi cacat bukan membantu malah menyusahkan terlalu lemot untuk di gunakan terlalu banyak bug,aplikasi cacat bukan membantu malah menyusahkan terlalu lemot untuk di gunakan terlalu banyak bug,aplikasi cacat membantu menyusahkan lemot bug,"['aplikasi', 'cacat', 'membantu', 'menyusahkan', 'lemot', 'bug']",aplikasi cacat bantu susah lot bug,negatif,,
Aplikasi Curang,1,2024-02-19 07:52:15,aplikasi curang,aplikasi curang,aplikasi curang,"['aplikasi', 'curang']",aplikasi curang,negatif,,
Loading kunci document dan upload pdf sangat amat lambat dan tidak ada solusi.,1,2024-02-19 07:48:55,loading kunci document dan upload pdf sangat amat lambat dan tidak ada solusi,loading kunci document dan upload pdf sangat amat lambat dan tidak ada solusi,loading kunci document upload pdf lambat solusi,"['loading', 'kunci', 'document', 'upload', 'pdf', 'lambat', 'solusi']",loading kunci document upload pdf lambat solusi,negatif,,
"Sangat melelahkan, harusnya ada backup server klau server utama tidak kuat, kirim ke server KPU Kecamatan, KPU Kabupaten, KPU Provinsi baru ke KPU RI Pusat. Pembacaan kamera masih sangat jelekh",1,2024-02-19 07:40:39,sangat melelahkan harusnya ada backup server klau server utama tidak kuat kirim ke server kpu kecamatan kpu kabupaten kpu provinsi baru ke kpu ri pusat pembacaan kamera masih sangat jelekh,sangat melelahkan harusnya ada backup server klau server utama tidak kuat kirim ke server kpu kecamatan kpu kabupaten kpu provinsi baru ke kpu ri pusat pembacaan kamera masih sangat jelekh,melelahkan backup server klau server utama kuat kirim server kpu kecamatan kpu kabupaten kpu provinsi kpu ri pusat pembacaan kamera jelekh,"['melelahkan', 'backup', 'server', 'klau', 'server', 'utama', 'kuat', 'kirim', 'server', 'kpu', 'kecamatan', 'kpu', 'kabupaten', 'kpu', 'provinsi', 'kpu', 'ri', 'pusat', 'pembacaan', 'kamera', 'jelekh']",lelah backup server klau server utama kuat kirim server kpu camat kpu kabupaten kpu provinsi kpu ri pusat baca kamera jelekh,negatif,,
"Tolong tambahkan sistem upload file,jadi lebih mudah,jangan hanya sistem scaning aja",3,2024-02-19 07:08:31,tolong tambahkan sistem upload filejadi lebih mudahjangan hanya sistem scaning aja,mohon tambahkan sistem upload filejadi lebih mudahjangan hanya sistem scaning saja,mohon tambahkan sistem upload filejadi mudahjangan sistem scaning,"['mohon', 'tambahkan', 'sistem', 'upload', 'filejadi', 'mudahjangan', 'sistem', 'scaning']",mohon tambah sistem upload filejadi mudahjangan sistem scaning,netral,,
APLIKASI EROR,1,2024-02-19 06:53:59,aplikasi eror,aplikasi error,aplikasi error,"['aplikasi', 'error']",aplikasi error,negatif,,
Aplikasi sampah,1,2024-02-19 06:47:35,aplikasi sampah,aplikasi sampah,aplikasi sampah,"['aplikasi', 'sampah']",aplikasi sampah,negatif,,
Aplikasi bodoh milik negara +62,1,2024-02-19 06:43:48,aplikasi bodoh milik negara 62,aplikasi bodoh milik negara 62,aplikasi bodoh milik negara 62,"['aplikasi', 'bodoh', 'milik', 'negara', '62']",aplikasi bodoh milik negara 62,negatif,,
kenapa nggak mau terbuka,5,2024-02-19 06:38:09,kenapa nggak mau terbuka,kenapa nggak ingin terbuka,nggak terbuka,"['nggak', 'terbuka']",nggak buka,negatif,,
Pengguna yang lain juga pasti ngeeti sendiri lah,1,2024-02-19 06:32:21,pengguna yang lain juga pasti ngeeti sendiri lah,pengguna yang lain juga pasti ngeeti sendiri lah,pengguna ngeeti,"['pengguna', 'ngeeti']",guna ngeeti,netral,,
"Seperti aplikasi yang masih mentah asal rilis, untuk sekelas apk pemerintah ini sangat mengecewakan.. Mohon admin kedepannya lebih mematangkan lagi",1,2024-02-19 06:18:13,seperti aplikasi yang masih mentah asal rilis untuk sekelas apk pemerintah ini sangat mengecewakan mohon admin kedepannya lebih mematangkan lagi,seperti aplikasi yang masih mentah asal rilis untuk sekelas aplikasi pemerintah ini sangat mengecewakan mohon admin kedepannya lebih mematangkan lagi,aplikasi mentah rilis sekelas aplikasi pemerintah mengecewakan mohon admin kedepannya mematangkan,"['aplikasi', 'mentah', 'rilis', 'sekelas', 'aplikasi', 'pemerintah', 'mengecewakan', 'mohon', 'admin', 'kedepannya', 'mematangkan']",aplikasi mentah rilis kelas aplikasi perintah kecewa mohon admin depan matang,negatif,,
Ayolah KPU Usahakan Bisa Aplod Lewat Galery Susah Banget Deteksi,1,2024-02-19 06:18:08,ayolah kpu usahakan bisa aplod lewat galery susah banget deteksi,ayolah kpu usahakan bisa aplod lewat galery susah banget deteksi,ayolah kpu usahakan aplod galery susah banget deteksi,"['ayolah', 'kpu', 'usahakan', 'aplod', 'galery', 'susah', 'banget', 'deteksi']",ayo kpu usaha aplod galery susah banget deteksi,negatif,,
"Aplikasi gagal, kamera gak bisa fokus gak bisa upload dari galeri, sekali foto butuh proses 5 - 10 menit untuk proses, tiap 30 menit force close",1,2024-02-19 06:16:28,aplikasi gagal kamera gak bisa fokus gak bisa upload dari galeri sekali foto butuh proses 5 10 menit untuk proses tiap 30 menit force close,aplikasi gagal kamera tidak bisa fokus tidak bisa upload dari galeri sekali foto butuh proses 5 10 menit untuk proses tiap 30 menit force close,aplikasi gagal kamera fokus upload galeri foto butuh proses 5 10 menit proses 30 menit force close,"['aplikasi', 'gagal', 'kamera', 'fokus', 'upload', 'galeri', 'foto', 'butuh', 'proses', '5', '10', 'menit', 'proses', '30', 'menit', 'force', 'close']",aplikasi gagal kamera fokus upload galeri foto butuh proses 5 10 menit proses 30 menit force close,negatif,,
"Aplikasi ini,tidak valid,lain yg di tulis lain yg di lapangan,kurang akurat,perlu di kembangkan lagi.",1,2024-02-19 06:10:01,aplikasi initidak validlain yg di tulis lain yg di lapangankurang akuratperlu di kembangkan lagi,aplikasi initidak validlain yang di tulis lain yang di lapangankurang akuratperlu di kembangkan lagi,aplikasi initidak validlain tulis lapangankurang akuratperlu kembangkan,"['aplikasi', 'initidak', 'validlain', 'tulis', 'lapangankurang', 'akuratperlu', 'kembangkan']",aplikasi initidak validlain tulis lapangankurang akuratperlu kembang,negatif,,
Ok terima kasih,5,2024-02-19 05:58:48,ok terima kasih,ok terima kasih,ok terima kasih,"['ok', 'terima', 'kasih']",ok terima kasih,positif,,
aplikasi buruk,1,2024-02-19 05:57:57,aplikasi buruk,aplikasi buruk,aplikasi buruk,"['aplikasi', 'buruk']",aplikasi buruk,negatif,,
"Aplikasi gak guna, aplikasi rusak, buang ja Rekap data untuk kepentingan negara kok banyak kesalahan Aplikasi ni gak bisa jadi rujukan hasil pemilu",1,2024-02-19 05:40:46,aplikasi gak guna aplikasi rusak buang ja rekap data untuk kepentingan negara kok banyak kesalahan aplikasi ni gak bisa jadi rujukan hasil pemilu,aplikasi tidak guna aplikasi rusak buang ja rekap data untuk kepentingan negara mengapa banyak kesalahan aplikasi ni tidak bisa jadi rujukan hasil pemilu,aplikasi aplikasi rusak buang ja rekap data kepentingan negara kesalahan aplikasi ni rujukan hasil pemilu,"['aplikasi', 'aplikasi', 'rusak', 'buang', 'ja', 'rekap', 'data', 'kepentingan', 'negara', 'kesalahan', 'aplikasi', 'ni', 'rujukan', 'hasil', 'pemilu']",aplikasi aplikasi rusak buang ja rekap data penting negara salah aplikasi ni rujuk hasil milu,negatif,,
Apl nya begok masak 1+1=1001,1,2024-02-19 05:38:21,apl nya begok masak 111001,apl nya begok masak 111001,apl nya begok masak 111001,"['apl', 'nya', 'begok', 'masak', '111001']",apl nya begok masak 111001,negatif,,
